post_id,user_id,place_id,name,latitude,longitude,level,NOM,geo
5367,25,18237,Barcelona Axe Throwing (B.A.T),41.3888,2.17479,bar,"Sant Pere, Santa Caterina i la Ribera
","41.3888,2.17479"
5394,25,18237,Barcelona Axe Throwing (B.A.T),41.3888,2.17479,bar,"Sant Pere, Santa Caterina i la Ribera
","41.3888,2.17479"
2659,160,8953,Carpe Diem,41.3893,2.16357,bar,"la Dreta de l'Eixample
","41.3893,2.16357"
2665,160,8953,Carpe Diem,41.3893,2.16357,bar,"la Dreta de l'Eixample
","41.3893,2.16357"
1802,60,6070,"Rambla de Catalunya, 26, 08007 Barcelona, Spain",41.3895,2.16627,bar,"la Dreta de l'Eixample
","41.3895,2.16627"
1803,60,6070,"Rambla de Catalunya, 26, 08007 Barcelona, Spain",41.3895,2.16627,bar,"la Dreta de l'Eixample
","41.3895,2.16627"
811,59,3052,"Metric, Avinguda Diagonal, Barcelona, Spain",41.3916,2.14164,bar,"les Corts
","41.3916,2.14164"
812,59,3052,"Metric, Avinguda Diagonal, Barcelona, Spain",41.3916,2.14164,bar,"les Corts
","41.3916,2.14164"
813,59,3053,"Metric, Avinguda Diagonal, Barcelona, Spain",41.3916,2.14164,bar,"les Corts
","41.3916,2.14164"
814,59,3054,"Metric, Avinguda Diagonal, Barcelona, Spain",41.3916,2.14164,bar,"les Corts
","41.3916,2.14164"
3538,85,12059,El Quatre de Londres,41.3929,2.15017,bar,"l'Antiga Esquerra de l'Eixample
","41.3929,2.15017"
5746,85,12059,El Quatre de Londres,41.3929,2.15017,bar,"l'Antiga Esquerra de l'Eixample
","41.3929,2.15017"
5747,85,12059,El Quatre de Londres,41.3929,2.15017,bar,"l'Antiga Esquerra de l'Eixample
","41.3929,2.15017"
5751,85,12059,El Quatre de Londres,41.3929,2.15017,bar,"l'Antiga Esquerra de l'Eixample
","41.3929,2.15017"
5752,85,12059,El Quatre de Londres,41.3929,2.15017,bar,"l'Antiga Esquerra de l'Eixample
","41.3929,2.15017"
3180,126,10874,Cachitos Diagonal,41.3953,2.15369,bar,"Sarrià, les Tres Torres i Vallvidrera


","41.3953,2.15369"
896,54,3264,"Oasis, Carrer d'Àvila, Barcelona, Spain",41.3993,2.19213,bar,"el Parc, la Llacuna i la Vila Olímpica

","41.3993,2.19213"
4448,155,15289,Bobby Gin,41.3997,2.15839,bar,"la Vila de Gràcia
","41.3997,2.15839"
4720,693,16235,Bar-Terraza Ayre Rosellón,41.4048,2.17288,bar,la Sagrada Família,"41.4048,2.17288"
