destination_citivatis_id,civitatis_name,final_name,english_name,city_id
649,San Miguel de Allende,San Miguel de Allende,San Miguel de Allende,1200087
655,Cebu,Cebu,Cebu,364
658,Isla Cristina,Isla Cristina,Isla Cristina,1365
673,Viñales,Viñales,Viñales,300056
676,Puebla,Puebla,Puebla,100144
679,Santiago de Cuba,Santiago de Cuba,Santiago de Cuba,1126
682,Gdansk,Gdańsk,Gdańsk,58
685,Potsdam,Potsdam,Potsdam,229
691,Kiel,Kiel,Kiel,1200589
700,Delft,Delft,Delft,100034
711,Guanajuato,Guanajuato,Guanajuato,100136
714,Brasilia,Brasília,Brasília,100112
730,Moguer,Moguer,Moguer,1329
739,Sharjah,Sharjah,Sharjah,1196
742,Trier,Trier,Trier,225
745,Panajachel,Panajachel,Panajachel,1200154
751,Aarhus,Aarhus,Aarhus,100101
760,Koh Tao,Ko Tao,Ko Tao,300052
766,Busan,Busan,Busan,600034
772,Hue,Hue,Hue,648
775,Belgrade,Belgrade,Belgrade,1374
778,Teruel,Teruel,Teruel,9
805,Bacalar,Bacalar,Bacalar,865
808,Islantilla,Islantilla,Islantilla,1366
820,Jodhpur,Jodhpur,Jodhpur,1344
829,Jaisalmer,Jaisalmer,Jaisalmer,1201
835,Amritsar,Amritsar,Amritsar,1199
850,Amposta,Amposta,Amposta,518
853,Udaipur,Udaipur,Udaipur,1357
868,Braga,Braga,Braga,100071
883,Palma de Mallorca,Palma,Palma,300083
886,Roses,Roses,Roses,1200732
892,São Miguel,Ponta Delgada,Ponta Delgada,304
901,Colmar,Colmar,Colmar,905
904,Sant Sadurní d'Anoia,Sant Sadurní d'Anoia,Sant Sadurní d'Anoia,1375
916,Santo Domingo,Santo Domingo,Santo Domingo,300015
937,Innsbruck,Innsbruck,Innsbruck,100084
958,San Javier,San Javier,San Javier,1002
976,La Ametlla de Mar,L'Ametlla de Mar,L'Ametlla de Mar,1417
985,Búzios,Armação dos Búzios,Armação dos Búzios,1200746
1000,Queenstown,Queenstown,Queenstown,691
1000,Queenstown,Queenstown,Queenstown,1287
1003,Husavik,Húsavík,Húsavík,1200559
1009,Paraty,Paraty,Paraty,1200403
1030,Arriondas,Arriondas,Arriondas,994
1045,Portimão,Portimão,Portimão,1200724
1051,Aveiro,Aveiro,Aveiro,1200697
1063,Leticia,Leticia,Leticia,100126
1069,Santiago de Querétaro,Santiago de Querétaro,Santiago de Querétaro,1200119
1075,Valladolid,Valladolid,Valladolid,1200307
1078,Albarracín,Albarracín,Albarracín,11
1081,Interlaken,Interlaken,Interlaken,100038
1084,Lucerne,Lucerne,Lucerne,100039
1096,Elche,Elche,Elche,578
1108,Ézaro,Ézaro,Ézaro,1368
1130,Consuegra,Consuegra,Consuegra,1200548
1151,Honolulu,Honolulu,Honolulu,350
1154,Gold Coast,Gold Coast,Gold Coast,806
1164,Dallas,Dallas,Dallas,1200282
1167,Jerte,Jerte,Jerte,587
1176,Leipzig,Leipzig,Leipzig,231
1191,Baiona,Baiona,Baiona,1200727
1200,San Felíu de Guixols,Sant Feliu de Guíxols,Sant Feliu de Guíxols,1200243
1203,Lausanne,Lausanne,Lausanne,300034
1218,Pompeii,Pompeii,Pompeii,215
1224,Zante,Zákynthos,Zákynthos,100064
1231,Jakarta,Jakarta,Jakarta,307
1234,Aqaba,Aqaba,Aqaba,300032
1237,Cartagena,Cartagena,Cartagena,100157
1240,Brno,Brno,Brno,100058
1252,Islamabad,Islamabad,Islamabad,646
1264,Lecce,Lecce,Lecce,216
1267,San Martín de los Andes,San Martín de los Andes,San Martín de los Andes,883
1270,Niagara Falls,Niagara Falls,Niagara Falls,1183
1285,Toro,Toro,Toro,1200689
1288,San Gimignano,San Gimignano,San Gimignano,1200486
1294,Viña del Mar,Viña del Mar,Viña del Mar,1200164
1300,Beirut,Beirut,Beirut,650
1313,Aguas Calientes,Aguas Calientes,Aguas Calientes,816
1316,Nuremberg,Nuremberg,Nuremberg,234
1328,Heidelberg,Heidelberg,Heidelberg,235
1331,Nairobi,Nairobi,Nairobi,297
1358,Banaue,Banaue,Banaue,375
1376,Nafplio,Nafplio,Nafplio,100065
1379,Hvar,Hvar,Hvar,1082
1396,Cagliari,Cagliari,Cagliari,100044
1405,Disneyland Paris,Chessy,Chessy,1200130
1411,Melilla,Melilla,Melilla,296
1417,Kaatsheuvel,Kaatsheuvel,Kaatsheuvel,1098
1426,Coron,Coron,Coron,361
1432,Jávea,Xàbia,Xàbia,571
1438,Jeju,Jeju City,Jeju City,600039
1459,Providencia,Providencia,Providencia,1200369
1465,Laredo,Laredo,Laredo,1143
1480,Dakar,Dakar,Dakar,1337
1501,Pereira,Pereira,Pereira,1200027
1525,Puerto Plata,Puerto Plata,Puerto Plata,300017
1528,Chennai,Chennai,Chennai,1200735
1555,Alcalá la Real,Alcalá,Alcalá,1200288
1588,La Fortuna,La Fortuna,La Fortuna,955
1609,Puerto Montt,Puerto Montt,Puerto Montt,1200297
1651,O Grove,O Grove,O Grove,1200728
1654,Maputo,Maputo,Maputo,1200159
1672,Trinidad,Trinidad,Trinidad,300024
1675,Zumaia,Zumaia,Zumaia,1200377
1702,Nara,Nara,Nara,1044
1714,Tigre,Tigre,Tigre,1200354
1726,Carcassonne,Carcassonne,Carcassonne,221
1750,Mandalay,Mandalay,Mandalay,300055
1753,Mazagón,Mazagón,Mazagón,1330
1756,Mont Saint Michel,Mont Saint-Michel,Mont Saint-Michel,217
1762,Dar es Salaam,Dar es Salaam,Dar es Salaam,1200194
1771,El Chaltén,El Chaltén,El Chaltén,886
1774,Cozumel,Cozumel,Cozumel,100139
1777,Kingston,Kingston,Kingston,1200364
1780,Malé,Malé,Malé,60152
1783,Zanzibar,Zanzibar City,Zanzibar City,60164
1810,La Romana,La Romana,La Romana,300022
1819,Petropavlovsk-Kamchatsky,Petropavlovsk-Kamchatsky,Petropavlovsk-Kamchatsky,100089
1831,Hawaii Island,Honolulu,Honolulu,350
1843,León,León,León,989
1846,Évora,Évora,Évora,1200549
1861,Alberobello,Alberobello,Alberobello,1200241
1867,Brisbane,Brisbane,Brisbane,1200132
1879,Baracoa,Baracoa,Baracoa,300026
1882,Calella,Calella,Calella,1321
1888,Castelsardo,Castelsardo,Castelsardo,100046
1891,La Paz,La Paz,La Paz,1200079
1894,Teotihuacán,Teotihuacán,Teotihuacán,880
1912,Oranjestad,Oranjestad,Oranjestad,276
1941,Vilnius,Vilnius,Vilnius,44
1944,Trakai,Trakai,Trakai,46
1956,Koh Chang,Ko Chang,Ko Chang,1200635
1963,Reims,Reims,Reims,218
1990,Ko Pha Ngan,Ko Pha-ngan,Ko Pha-ngan,391
1996,Lille,Lille,Lille,1200129
1999,Rabat,Rabat,Rabat,120
2002,Chefchaouen,Chefchaouen,Chefchaouen,1036
2005,Podgorica,Podgorica,Podgorica,934
2008,Aix-en-Provence,Aix-en-Provence,Aix-en-Provence,222
2017,Lorca,Lorca,Lorca,100151
2038,Ensenada,Ensenada,Ensenada,1200604
2042,Labuan Bajo,Labuan Bajo,Labuan Bajo,428
2092,Huacachina,Huacachina,Huacachina,823
2104,Koh Kut,Ko Kut,Ko Kut,387
2107,Font-Rubí,Font-rubí,Font-rubí,1001
2122,Vejer de la Frontera,Vejer de la Frontera,Vejer de la Frontera,300060
2131,Ensenada,Ensenada,Ensenada,1200604
2152,Soria,Soria,Soria,1200667
2158,Bocas del Toro,Bocas del Toro,Bocas del Toro,1200525
2215,Kotor,Kotor,Kotor,927
2218,Cobh,Cobh,Cobh,1200081
2221,Yangshuo,Yangshuo,Yangshuo,600016
2224,Chambord,Chambord,Chambord,912
2233,Monteverde,Monteverde,Monteverde,1200685
2257,Jaca,Jaca,Jaca,10
2290,Volendam,Volendam,Volendam,100033
2293,Marken,Marken,Marken,100028
2339,Perth,Perth,Perth,1159
2348,Auckland,Auckland City,Auckland City,690
2411,Mdina,Mdina,Mdina,118
2444,Stirling,Stirling,Stirling,1162
2453,Milos,Milos,Milos,1200193
2497,Odessa,Odessa,Odessa,72
2503,Lviv,Lviv,Lviv,69
2506,Mostar,Mostar,Mostar,1200642
2536,Cairns,Cairns,Cairns,1200072
2539,Aachen,Aachen,Aachen,100110
2587,Les Escaldes,Les Escaldes,Les Escaldes,926
2617,L'Estartit,Torroella de Montgrí,Torroella de Montgrí,1200488
2638,Wellington,Wellington,Wellington,693
2654,Rennes,Rennes,Rennes,904
2660,Essaouira,Essaouira,Essaouira,900006
2678,Lisse,Lisse,Lisse,759
2702,Elvas,Elvas,Elvas,1200550
2723,Zaandam,Zaandam,Zaandam,1200343
2725,Huesca,Huesca,Huesca,8
2737,Serradilla,Serradilla,Serradilla,1135
2741,Ceuta,Ceuta,Ceuta,295
2741,Ceuta,Ceuta,Ceuta,1200011
2752,Bamberg,Bamberg,Bamberg,228
2764,Himeji,Himeji,Himeji,1041
2766,Kanazawa,Kanazawa,Kanazawa,600005
2781,Budva,Budva,Budva,928
2785,Cefalù,Cefalù,Cefalù,1200523
2787,Canterbury,Canterbury,Canterbury,100023
2788,Minsk,Minsk,Minsk,237
2794,Quebec,Québec,Québec,300073
2799,Bernal,Bernal,Bernal,850
2804,Comillas,Comillas,Comillas,568
2807,Monterosso,Monterosso al Mare,Monterosso al Mare,1200274
2819,Foz,Foz,Foz,1200696
2822,Yerevan,Yerevan,Yerevan,485
2827,Jaén,Jaén,Jaén,511
2829,Versailles,Versailles,Versailles,917
2833,Chihuahua,Chihuahua,Chihuahua,876
2852,Urubamba,Urubamba,Urubamba,818
2857,Cadaqués,Cadaqués,Cadaqués,1200349
2859,Riells del Fai,Riells del Fai,Riells del Fai,300085
2863,Ardales,Ardales,Ardales,630
2867,Toruń,Toruń,Toruń,61
2868,Albi,Albi,Albi,914
2874,Huraa,Huraa,Huraa,437
2882,Kilkenny,Kilkenny,Kilkenny,1318
2885,Dhiffushi,Dhiffushi,Dhiffushi,435
2892,Quetzaltenango,Quezaltenango,Quezaltenango,337
2904,Puerto Galera,Puerto Galera,Puerto Galera,600014
2921,Sirmione,Sirmione,Sirmione,900
2923,Jarabacoa,Jarabacoa,Jarabacoa,300021
2924,Ostuni,Ostuni,Ostuni,1200351
2934,Korčula,Korčula,Korčula,100007
2940,Amarante,Amarante,Amarante,100072
2942,Mazatlán,Mazatlán,Mazatlán,831
2950,Castellón de la Plana,Castelló de la Plana,Castelló de la Plana,574
2952,Sesimbra,Sesimbra,Sesimbra,1275
2971,Somo,Somo,Somo,1200720
2972,Benicassim,Benicàssim,Benicàssim,557
2978,Sagres,Sagres,Sagres,100079
2979,Aínsa,Aínsa,Aínsa,12
2999,Lagoa,Lagoa,Lagoa,1200725
3004,Guadalajara,Guadalajara,Guadalajara,100140
3008,São Jorge,São Jorge,São Jorge,1200093
3013,Koblenz,Koblenz,Koblenz,230
3016,Ribadelago Nuevo,Ribadelago Nuevo,Ribadelago Nuevo,1373
3022,Dijon,Dijon,Dijon,910
3025,Besalú,Besalú,Besalú,623
3027,Figueras,Figueres,Figueres,1200234
3038,Salento,Salento,Salento,1255
3048,Villa La Angostura,Villa La Angostura,Villa La Angostura,1200228
3058,Combarro,Combarro,Combarro,1200726
3064,San Luis,San Luis,San Luis,854
3074,Celorio,Celorio,Celorio,1015
3075,Playa de Aro,Platja d'Aro,Platja d'Aro,1000
3079,Castelldefels,Castelldefels,Castelldefels,1200051
3088,Níjar,Níjar,Níjar,289
3098,Nigrán,Nigrán,Nigrán,1010
3101,Cudillero,Cudillero,Cudillero,1200256
3102,Lastres,Lastres,Lastres,1393
3103,Luarca,Luarca,Luarca,1200567
3110,Covarrubias,Covarrubias,Covarrubias,1200250
3113,Zahara de la Sierra,Zahara de la Sierra,Zahara de la Sierra,625
3120,Morella,Morella,Morella,613
3125,Beget,Beget,Beget,1200405
3126,Pals,Pals,Pals,1200262
3134,Alquézar,Alquézar,Alquézar,1200342
3150,El Burgo de Osma,Burgo de Osma,Burgo de Osma,1200666
3157,Puebla de Sanabria,Puebla de Sanabria,Puebla de Sanabria,1200718
3158,Miravet,Miravet,Miravet,300080
3169,Daimiel,Daimiel,Daimiel,608
3201,El Palmar de Vejer,El Palmar de Vejer,El Palmar de Vejer,555
3203,Palomino,Palomino,Palomino,1253
3217,Mar del Plata,Mar del Plata,Mar del Plata,100122
3219,Maafushi,Maafushi,Maafushi,60153
3224,Santander,Santander,Santander,20
3240,Kutna Hora,Kutna Hora,Kutna Hora,100057
3241,Karlovy Vary,Karlovy Vary,Karlovy Vary,100056
3250,Stepantsminda,Stepantsminda,Stepantsminda,1233
3270,Byron Bay,Byron Bay,Byron Bay,1200002
3271,Wanaka,Wanaka,Wanaka,700
3274,Riviera Nayarit,Riviera Nayarit,Riviera Nayarit,1109
3276,Guardalavaca,Guardalavaca,Guardalavaca,300025
3279,Morelia,Morelia,Morelia,100143
3280,Whistler,Whistler,Whistler,1200230
3281,Tampa,Tampa,Tampa,1200024
3301,Rethymno,Rethymno,Rethymno,783
3312,Addu,Addu,Addu,60154
3326,Espot,Espot,Espot,1200054
3340,Killarney,Killarney,Killarney,1310
3352,Zakopane,Zakopane,Zakopane,1028
3373,Holbox,Holbox,Holbox,832
3377,Capri,Capri,Capri,100049
3390,Asheville,Asheville,Asheville,100111
3396,Edam,Edam,Edam,100032
3405,Hospitalet de Llobregat,L'Hospitalet de Llobregat,L'Hospitalet de Llobregat,1200687
3406,Badalona,Badalona,Badalona,564
3411,Leganés,Leganés,Leganés,1200622
3414,Dos Hermanas,Dos Hermanas,Dos Hermanas,100152
3415,Torrejón de Ardoz,Torrejón de Ardoz,Torrejón de Ardoz,1200215
3417,Mataró,Mataró,Mataró,996
3421,Quintanilla del Agua,Quintanilla del Agua,Quintanilla del Agua,1200249
3425,Ceský Krumlov,Český Krumlov,Český Krumlov,100055
3448,Puerto de la Selva,El Port de la Selva,El Port de la Selva,558
3449,Begur,Begur,Begur,300087
3451,Palafrugell,Palafrugell,Palafrugell,1240
3452,Palamós,Palamós,Palamós,640
3453,Banyoles,Banyoles,Banyoles,1012
3454,Empuriabrava,Empuriabrava,Empuriabrava,1147
3455,Sant Pere Pescador,Sant Pere Pescador,Sant Pere Pescador,1200694
3456,Sant Martí d'Empúries,Sant Martí d'Empúries,Sant Martí d'Empúries,1200741
3458,Torroella de Montgrí,Torroella de Montgrí,Torroella de Montgrí,1200488
3461,Ancud,Ancud,Ancud,1200649
3467,Talavera de la Reina,Talavera de la Reina,Talavera de la Reina,1200048
