,destinationId,civitatis_name,final_name,english_name,city_id
855,1777,Kingston,Kingston,Kingston,1200364.0
856,1780,Malé,Malé,Malé,60152.0
857,1783,Zanzibar,Zanzibar City,Zanzibar City,60164.0
865,1810,La Romana,La Romana,La Romana,300022.0
868,1819,Petropavlovsk-Kamchatsky,Petropavlovsk-Kamchatsky,Petropavlovsk-Kamchatsky,100089.0
872,1831,Hawaii Island,Honolulu,Honolulu,350.0
876,1843,León,León,León,989.0
877,1846,Évora,Évora,Évora,1200549.0
882,1861,Alberobello,Alberobello,Alberobello,1200241.0
884,1867,Brisbane,Brisbane,Brisbane,1200132.0
888,1879,Baracoa,Baracoa,Baracoa,300026.0
889,1882,Calella,Calella,Calella,1321.0
891,1888,Castelsardo,Castelsardo,Castelsardo,100046.0
892,1891,La Paz,La Paz,La Paz,1200079.0
893,1894,Teotihuacán,Teotihuacán,Teotihuacán,880.0
899,1912,Oranjestad,Oranjestad,Oranjestad,276.0
908,1941,Vilnius,Vilnius,Vilnius,44.0
909,1944,Trakai,Trakai,Trakai,46.0
913,1956,Koh Chang,Ko Chang,Ko Chang,1200635.0
915,1963,Reims,Reims,Reims,218.0
924,1990,Ko Pha Ngan,Ko Pha-ngan,Ko Pha-ngan,391.0
926,1996,Lille,Lille,Lille,1200129.0
927,1999,Rabat,Rabat,Rabat,120.0
928,2002,Chefchaouen,Chefchaouen,Chefchaouen,1036.0
929,2005,Podgorica,Podgorica,Podgorica,934.0
930,2008,Aix-en-Provence,Aix-en-Provence,Aix-en-Provence,222.0
933,2017,Lorca,Lorca,Lorca,100151.0
940,2038,Ensenada,Ensenada,Ensenada,1200604.0
941,2042,Labuan Bajo,Labuan Bajo,Labuan Bajo,428.0
957,2092,Huacachina,Huacachina,Huacachina,823.0
961,2104,Koh Kut,Ko Kut,Ko Kut,387.0
962,2107,Font-Rubí,Font-rubí,Font-rubí,1001.0
967,2122,Vejer de la Frontera,Vejer de la Frontera,Vejer de la Frontera,300060.0
970,2131,Ensenada,Ensenada,Ensenada,1200604.0
977,2152,Soria,Soria,Soria,1200667.0
979,2158,Bocas del Toro,Bocas del Toro,Bocas del Toro,1200525.0
997,2215,Kotor,Kotor,Kotor,927.0
998,2218,Cobh,Cobh,Cobh,1200081.0
999,2221,Yangshuo,Yangshuo,Yangshuo,600016.0
1000,2224,Chambord,Chambord,Chambord,912.0
1003,2233,Monteverde,Monteverde,Monteverde,1200685.0
1011,2257,Jaca,Jaca,Jaca,10.0
1022,2290,Volendam,Volendam,Volendam,100033.0
1023,2293,Marken,Marken,Marken,100028.0
1035,2339,Perth,Perth,Perth,1159.0
1038,2348,Auckland,Auckland City,Auckland City,690.0
1058,2411,Mdina,Mdina,Mdina,118.0
1068,2444,Stirling,Stirling,Stirling,1162.0
1071,2453,Milos,Milos,Milos,1200193.0
1085,2497,Odessa,Odessa,Odessa,72.0
1087,2503,Lviv,Lviv,Lviv,69.0
1088,2506,Mostar,Mostar,Mostar,1200642.0
1097,2536,Cairns,Cairns,Cairns,1200072.0
1098,2539,Aachen,Aachen,Aachen,100110.0
1114,2587,Les Escaldes,Les Escaldes,Les Escaldes,926.0
1124,2617,L'Estartit,Torroella de Montgrí,Torroella de Montgrí,1200488.0
1131,2638,Wellington,Wellington,Wellington,693.0
1136,2654,Rennes,Rennes,Rennes,904.0
1138,2660,Essaouira,Essaouira,Essaouira,900006.0
1144,2678,Lisse,Lisse,Lisse,759.0
1152,2702,Elvas,Elvas,Elvas,1200550.0
1160,2723,Zaandam,Zaandam,Zaandam,1200343.0
1161,2725,Huesca,Huesca,Huesca,8.0
1169,2737,Serradilla,Serradilla,Serradilla,1135.0
1173,2741,Ceuta,Ceuta,Ceuta,295.0
1174,2741,Ceuta,Ceuta,Ceuta,1200011.0
1184,2752,Bamberg,Bamberg,Bamberg,228.0
1196,2764,Himeji,Himeji,Himeji,1041.0
1198,2766,Kanazawa,Kanazawa,Kanazawa,600005.0
1213,2781,Budva,Budva,Budva,928.0
1217,2785,Cefalù,Cefalù,Cefalù,1200523.0
1219,2787,Canterbury,Canterbury,Canterbury,100023.0
1220,2788,Minsk,Minsk,Minsk,237.0
1226,2794,Quebec,Québec,Québec,300073.0
1231,2799,Bernal,Bernal,Bernal,850.0
1236,2804,Comillas,Comillas,Comillas,568.0
1239,2807,Monterosso,Monterosso al Mare,Monterosso al Mare,1200274.0
1251,2819,Foz,Foz,Foz,1200696.0
1254,2822,Yerevan,Yerevan,Yerevan,485.0
1259,2827,Jaén,Jaén,Jaén,511.0
1261,2829,Versailles,Versailles,Versailles,917.0
1265,2833,Chihuahua,Chihuahua,Chihuahua,876.0
1282,2852,Urubamba,Urubamba,Urubamba,818.0
1286,2857,Cadaqués,Cadaqués,Cadaqués,1200349.0
1288,2859,Riells del Fai,Riells del Fai,Riells del Fai,300085.0
1292,2863,Ardales,Ardales,Ardales,630.0
1296,2867,Toruń,Toruń,Toruń,61.0
