,city_id,country_id,region_id,province_id,sub_province_id,google_api_level_x,google_id,city_english_name,city_spanish_name,country_english_name,country_spanish_name,lat,lng,geometry,province_id_x
831,300020,68,637.0,1405.0,,locality,ChIJr9O213H6ro4R_bnF7JqaWzw,Las Terrenas,Las Terrenas,Dominican Republic,República Dominicana,19.299298,-69.5559162,POINT (-69.5559162 19.299298),
832,300021,68,636.0,1397.0,,locality,ChIJc-xndDowsI4RR-FdOwm_pX4,Jarabacoa,Jarabacoa,Dominican Republic,República Dominicana,19.1236754,-70.6422003,POINT (-70.6422003 19.1236754),
833,300022,68,638.0,1396.0,,locality,ChIJK8xQ8mhUr44R2ZnryF_lSxc,La Romana,La Romana,Dominican Republic,República Dominicana,18.4338645,-68.9658817,POINT (-68.9658817 18.4338645),
834,300023,64,604.0,30013.0,,locality,ChIJY8LEGsEH04gRiJWJL8OwDTk,Varadero,Varadero,Cuba,Cuba,23.179858,-81.1885293,POINT (-81.1885293 23.179858),
835,300024,64,607.0,30014.0,,locality,ChIJxeCp7ULkKo8RiVCxsgZ162c,Trinidad,Trinidad,Cuba,Cuba,21.7960343,-79.98081429999999,POINT (-79.98081429999999 21.7960343),
836,300025,64,600.0,30015.0,,locality,ChIJPzEM9YyuzY4R2O8t_eW3NjY,Guardalavaca,Guardalavaca,Cuba,Cuba,21.1205903,-75.8272482,POINT (-75.8272482 21.1205903),
837,300026,64,599.0,30017.0,,locality,ChIJ6SH-rIBhyY4RvorRBNS4Cqw,Baracoa,Baracoa,Cuba,Cuba,20.3474809,-74.5023819,POINT (-74.5023819 20.3474809),
838,300027,64,597.0,,,locality,ChIJ4QD2vUx3zYgRYA13Gn5NKU4,Havana,La Habana,Cuba,Cuba,23.1135925,-82.3665956,POINT (-82.3665956 23.1135925),
839,300028,63,591.0,,,locality,ChIJFd-e6wxQpo8RRbmWoq2O61M,Puerto Viejo de Talamanca,Puerto Viejo de Talamanca,Costa Rica,Costa Rica,9.6540146,-82.75494119999999,POINT (-82.75494119999999 9.6540146),
840,300029,63,589.0,,,locality,ChIJuWQfhpBTno8RXxxI5DR2x_0,Nosara,Nosara,Costa Rica,Costa Rica,9.9797332,-85.64862509999999,POINT (-85.64862509999999 9.9797332),
841,300030,63,593.0,,,locality,ChIJxRUNxULjoI8RgrgRn2pqdOY,San José,San José,Costa Rica,Costa Rica,9.9280694,-84.0907246,POINT (-84.0907246 9.9280694),
842,300031,47,424.0,797.0,,locality,ChIJF5LHGKuej0cRZS-XQg9cqr8,Grindelwald,Grindelwald,Switzerland,Suiza,46.624164,8.0413962,POINT (8.0413962 46.624164),
843,300032,208,1462.0,60049.0,,locality,ChIJgfou_zlwABURzGoubVWqX1k,Aqaba,Aqaba,Jordan,Jordania,29.5320522,35.0063209,POINT (35.0063209 29.5320522),
844,300033,47,424.0,804.0,,locality,ChIJrxr52IXejkcRyoqHNn2uP_4,Sion,Sion,Switzerland,Suiza,46.2331221,7.360625999999999,POINT (7.360625999999999 46.2331221),
845,300034,47,423.0,803.0,,locality,ChIJ5aeJzT4pjEcRXu7iysk_F-s,Lausanne,Lausanne,Switzerland,Suiza,46.5196535,6.6322734,POINT (6.6322734 46.5196535),
846,300036,1,10.0,25.0,,locality,ChIJ-ajbIVuZpBIRkAakIeD6AAQ,Cornellà de Llobregat,Cornellà de Llobregat,Spain,España,41.3573827,2.0707159,POINT (2.0707159 41.3573827),
847,300038,173,1176.0,300016.0,,locality,ChIJnfiSFexo1h0RgtbENVEZQMs,Mossel Bay,Mossel Bay,South Africa,Sudáfrica,-34.1747356,22.0834066,POINT (22.0834066 -34.1747356),
848,300041,47,423.0,803.0,,locality,ChIJTaH_qu2ajkcRvqyT1pRowYk,Veytaux,Veytaux,Switzerland,Suiza,46.42071019999999,6.9286409,POINT (6.9286409 46.42071019999999),
849,300042,47,424.0,794.0,,locality,ChIJTzBpJ8dJkEcRkIpt83DrHDY,Basel,Basilea,Switzerland,Suiza,47.5595986,7.5885761,POINT (7.5885761 47.5595986),
850,300043,47,424.0,804.0,,locality,ChIJH7TIXKN7j0cR1xz37FokQL8,Fieschertal,Fieschertal,Switzerland,Suiza,46.4245787,8.143049,POINT (8.143049 46.4245787),
851,300046,58,,1273.0,,locality,ChIJiTIXI8O7HZYRRVZB4FRTZ5k,Trevelin,Trevelin,Argentina,Argentina,-43.0888123,-71.4625883,POINT (-71.4625883 -43.0888123),
852,300047,25,228.0,300025.0,,locality,ChIJG9IQp2iXOxMRMd7OYygL3ow,Positano,Positano,Italy,Italia,40.6280528,14.4849812,POINT (14.4849812 40.6280528),
853,300048,36,346.0,10019.0,,locality,ChIJN90Pvwa_ohQRRHp75-tdqPo,Mykonos,Mikonos,Greece,Grecia,37.4467185,25.3288623,POINT (25.3288623 37.4467185),
